symbol,timestamp,open,high,low,close,volume,trade_count,vwap
QQQ,2024-02-26 05:00:00+00:00,437.6,446.58,434.3,445.61,186426460.0,1789181.0,438.621994
QQQ,2024-03-04 05:00:00+00:00,445.61,448.64,433.65,439.02,255140405.0,2513889.0,441.318771
QQQ,2024-03-11 04:00:00+00:00,437.51,444.02,432.7417,433.92,265251124.0,2424664.0,438.56474
QQQ,2024-03-18 04:00:00+00:00,438.73,449.34,433.33,446.38,201580948.0,2001525.0,441.671265
QQQ,2024-03-25 04:00:00+00:00,443.55,447.225,441.93,444.01,140124678.0,1329499.0,444.535202
QQQ,2024-04-01 04:00:00+00:00,444.97,447.53,435.11,440.47,234968160.0,2244605.0,441.58097
QQQ,2024-04-08 04:00:00+00:00,441.41,446.33,436.28,438.27,228257749.0,2186114.0,439.879269
QQQ,2024-04-15 04:00:00+00:00,442.06,442.15,413.07,414.65,289736272.0,2773972.0,426.935341
QQQ,2024-04-22 04:00:00+00:00,417.31,432.55,413.94,431.0,239904535.0,2111938.0,423.858287
QQQ,2024-04-29 04:00:00+00:00,433.13,436.48,420.63,435.48,211014836.0,2027628.0,428.599911
QQQ,2024-05-06 04:00:00+00:00,437.3,444.31,436.52,442.06,138508704.0,1374756.0,440.302477
QQQ,2024-05-13 04:00:00+00:00,443.99,454.69,441.65,451.76,169527895.0,1494655.0,449.042166
QQQ,2024-05-20 04:00:00+00:00,451.98,460.58,451.785,457.95,143335977.0,1232168.0,455.749208
QQQ,2024-05-27 04:00:00+00:00,459.18,459.74,443.055,450.71,142611475.0,1162612.0,452.785039
QQQ,2024-06-03 04:00:00+00:00,454.57,465.74,447.9,462.96,138301702.0,1315949.0,458.105029
QQQ,2024-06-10 04:00:00+00:00,461.82,479.26,461.53,479.19,126538771.0,1296013.0,471.967902
QQQ,2024-06-17 04:00:00+00:00,479.46,486.86,478.14,480.18,134844665.0,1199759.0,482.827495
QQQ,2024-06-24 04:00:00+00:00,478.18,487.2,473.82,479.11,150737750.0,1356133.0,479.39862
QQQ,2024-07-01 04:00:00+00:00,480.04,496.6,476.255,496.16,98182711.0,1012212.0,487.211646
QQQ,2024-07-08 04:00:00+00:00,496.53,503.52,490.725,494.82,162933563.0,1576262.0,497.069694
QQQ,2024-07-15 04:00:00+00:00,496.61,501.01,473.94,475.24,204760993.0,1906518.0,485.428654
QQQ,2024-07-22 04:00:00+00:00,481.16,484.43,455.63,462.97,221649973.0,2056286.0,468.757888
QQQ,2024-07-29 04:00:00+00:00,465.71,475.55,444.47,448.75,237064964.0,2441294.0,459.90513
QQQ,2024-08-05 04:00:00+00:00,424.71,452.06,423.45,450.41,287041091.0,3114505.0,441.056346
QQQ,2024-08-12 04:00:00+00:00,451.39,476.41,448.5546,475.03,179277397.0,1679755.0,464.194549
QQQ,2024-08-19 04:00:00+00:00,475.17,485.54,473.37,480.0,152406885.0,1553378.0,479.399582
QQQ,2024-08-26 04:00:00+00:00,479.45,480.38,467.89,476.27,166883018.0,1770469.0,474.176508
QQQ,2024-09-02 04:00:00+00:00,473.2,473.33,448.19,448.69,162567091.0,1839593.0,459.517108
QQQ,2024-09-09 04:00:00+00:00,453.06,476.53,449.8234,475.34,189791785.0,1907611.0,463.096478
QQQ,2024-09-16 04:00:00+00:00,473.19,486.23,469.89,482.44,179939435.0,1861742.0,477.886639
QQQ,2024-09-23 04:00:00+00:00,482.95,493.7,480.17,486.75,132216801.0,1434611.0,486.169917
QQQ,2024-09-30 04:00:00+00:00,485.78,488.41,477.4,487.32,152892207.0,1717020.0,483.090342
QQQ,2024-10-07 04:00:00+00:00,485.39,494.47,480.87,493.36,124637029.0,1334286.0,489.413124
QQQ,2024-10-14 04:00:00+00:00,495.77,498.83,487.57,494.47,136387115.0,1412184.0,493.31543
QQQ,2024-10-21 04:00:00+00:00,493.25,500.28,485.05,495.32,157156028.0,1604971.0,493.589774
QQQ,2024-10-28 04:00:00+00:00,498.46,501.35,483.75,487.43,153148802.0,1699160.0,492.53723
QQQ,2024-11-04 05:00:00+00:00,486.82,514.9175,484.2545,514.14,146504996.0,1536635.0,502.092734
QQQ,2024-11-11 05:00:00+00:00,515.37,515.58,494.49,496.57,154710756.0,1482964.0,507.775343
QQQ,2024-11-18 05:00:00+00:00,498.13,506.96,496.555,505.79,139501469.0,1439033.0,501.892426
QQQ,2024-11-25 05:00:00+00:00,509.9,511.4525,501.93,509.74,93223636.0,948775.0,507.158773
QQQ,2024-12-02 05:00:00+00:00,511.01,526.72,510.62,526.48,111763530.0,1109551.0,519.974225
QQQ,2024-12-09 05:00:00+00:00,525.55,533.1661,519.16,530.53,129550933.0,1248294.0,526.526513
QQQ,2024-12-16 05:00:00+00:00,533.08,539.15,509.29,518.66,222233803.0,2161644.0,525.055925
QQQ,2024-12-23 05:00:00+00:00,519.55,531.24,516.13,522.56,100212064.0,1098396.0,523.752897
QQQ,2024-12-30 05:00:00+00:00,515.51,519.6454,505.71,518.58,129150359.0,1498414.0,513.990035
QQQ,2025-01-06 05:00:00+00:00,524.02,527.92,503.92,507.19,144110278.0,1622932.0,516.065671
QQQ,2025-01-13 05:00:00+00:00,501.2,524.0733,499.7,521.74,180458729.0,1747368.0,512.593597
QQQ,2025-01-20 05:00:00+00:00,524.48,533.82,520.06,529.63,100195798.0,1085762.0,529.379279
QQQ,2025-01-27 05:00:00+00:00,511.0,526.095,510.15,521.07,134847827.0,1561566.0,517.390391
